Serial,Date (YMD),Event,Provincia,Code Provincia,Departamento,Code Departamento,Comments,Cause,Description of Cause,Source,DataCards,Evacuated,lat,lon,rio1.nombre,rio1.distancia,rio2.nombre,rio2.distancia
2015-00134:017,23/12/2015,FLOOD,Chaco,22,San Fernando,22140,Hubo entre 1200 y 1500 evacuados.,Llu y desb,Dbto. del río Paraná,CL 2015-12-24 P. 40,1,0,-27.92561531,-59.31798172,CIRHBAS - LIM VILLA GUILLERMINA-ARROYO LOS AMORES,22.87946130564213,Negro - Laguna Blanca,40.00967873598881
2015-00134:005,22/12/2015,FLOOD,Corrientes,18,Itati,18077,Hubo anegamientos y evacuados.,Llu y desb,Luvias de 150 mm,"CL 2015-12-26 P. 52, 53",1,0,-27.35196615,-57.87393625,Itatí,41.46139160038385,Itá Ibaté,60.26984780817735
2015-00134:007,22/12/2015,FLOOD,Corrientes,18,San Cosme,18133,Hubo anegamientos y evacuados.,Llu y desb,Luvias de 150 mm,"CL 2015-12-26 P. 52, 53",1,0,-27.36393313,-58.66198243,Isla del Cerrito,5.733399084566332,Paso de la Patria,8.923019286545259
2015-00134:004,22/12/2015,FLOOD,Corrientes,18,Esquina,18049,Hubo anegamientos y 19 evacuados.,Llu y desb,Luvias de 150 mm,"CL 2015-12-26 P. 52, 53",1,19,-30.0784368,-59.4055912,Aº Barrancas - Paso La Llana,11.968917907847858,Esquina,14.950085894162754
2015-00134:018,23/12/2015,FLOOD,Corrientes,18,Goya,18070,Hubo anegamientos y 800 evacuados.,Llu y desb,Luvias de 160 mm,"CL 2015-12-24 P. 40; CL 2015-12-26 P. 52, 53",1,800,-29.1751244,-58.88982054,Aº Batel - Paso Cerrito,14.000267264942622,Bella Vista,42.093005625454715
2015-00134:006,22/12/2015,FLOOD,Corrientes,18,Lavalle,18091,Hubo anegamientos y 6 familias evacuadas.,Llu y desb,Luvias de 150 mm,"CL 2015-12-26 P. 52, 53",1,240,-28.9356733,-58.8052348,Aº Batel - Paso Cerrito,5.810254421727273,Bella Vista,37.03403911086592
2015-00134:003,22/12/2015,FLOOD,Corrientes,18,Capital,18021,Hubo anegamientos y 70 evacuados.,Llu y desb,Luvias de 150 mm,"CL 2015-12-26 P. 52, 53",1,70,-27.4064,-58.78276,Paraná - Corrientes,6.407280926805932,Corrientes,7.056348757607762
2015-00134:002,22/12/2015,FLOOD,Corrientes,18,,,En total 2000 evacuados y autoevacuados en toda la provincia.,Llu y desb,Dbto. de los ríos Paraná y Uruguay.,"CL 2015-12-26 P. 52, 53",1,2000,,,nombre random,100000000.0,,
2015-00134:015,22/12/2015,FLOOD,Santa Fe,82,General Obligado,82049,,Llu y desb,"Dbto. del río Paraná: 5,94 m","CL 2015-12-24P. 40; CL 2015-12-26 P. 52, 53",1,150,-28.6765561,-59.7497004,Aº Las Garzas - RN Nº 11,31.181505624901703,Aº Malabrigo - RN Nº11,33.968463718087904
2015-00134:019,23/12/2015,FLOOD,Santa Fe,82,La Capital,82063,,Llu y desb,Dbto. del río Paraná,"CL 2015-12-24 P. 40; CL 2015-12-26 P. 52, 53",1,200,-31.18858147,-60.62677383,Sis. Setúbal-Sta. Fé-La Guard.,24.73041989897728,Colastiné - RN N° 168,25.92938196910656
2015-00134:008,22/12/2015,FLOOD,Entre Rios,30,,,Más de 600 personas evacuadas en toda la provincia.,Llu y desb,"Dbto. del río Uruguay: 13,36 m",LN Dig. 2015-12-23,1,0,,,nombre random,100000000.0,,
2015-00122:005,6/12/2015,FLOOD,Corrientes,18,Capital,18021,7 familias evacuadas.,Llu y desb,"Dbto del río Paraná: 6,67 m",LN 2015-12-07 P. 17,1,28,-27.4064,-58.78276,Paraná - Corrientes,6.407280926805932,Corrientes,7.056348757607762
2015-00134:001,22/12/2015,FLOOD,Chaco,22,Bermejo,22014,2500 habitantes aislados.,Llu y desb,"Dbto. del río Paraná y Paraguay: llegaron a 7,25 m",CL 2015-12-23 P. 59,1,0,-26.92175039,-58.77874597,Paraguay - Las Palmas,18.897140647721372,Bermejo - Puerto Velaz,22.06879200826867
2015-00134,22/12/2015,FLOOD,Chaco,22,,,Más de 1000 familias evacuadas y 5000 personas afectadas.,Llu y desb,"Dbto. del río Paraná y Paraguay: llegaron a 7,25 m",CL 2015-12-23 P. 59,1,0,,,nombre random,100000000.0,,
2015-00134:012,22/12/2015,FLOOD,Entre Rios,30,Federacion,30028,Entre otras 4 provincias suman 7000 evacuados en total,Llu y desb,"Dbto. del río Uruguay: 13,36 m",CL 2015-12-23 P. 59,1,0,-30.70681007,-57.88784914,Mocoretá,7.811214255254326,Monte Caseros,39.181279829816404
2015-00134:011,22/12/2015,FLOOD,Entre Rios,30,Federacion,30028,Entre otras 4 provincias suman 7000 evacuados en total,Llu y desb,"Dbto. del río Uruguay: 13,36 m",CL 2015-12-23 P. 59,1,0,-30.70681007,-57.88784914,Mocoretá,7.811214255254326,Monte Caseros,39.181279829816404
2015-00134:009,22/12/2015,FLOOD,Entre Rios,30,Colon,30008,En Colon fueron evacuados 1000 personas,Llu y desb,"Dbto. del río Uruguay: 13,36 m","CL 2015-12-23 P. 59; CL 2015-12-26 P. 52, 53",1,1000,-31.70735861,-58.28660961,Concordia,35.0171592213429,Salto Grande Arriba,46.425271309854324
2015-00134:013,22/12/2015,FLOOD,Entre Rios,30,Uruguay,30098,se evacuaron las personas por la crecida del ríio,Llu y desb,"Dbto. del río Uruguay: 13,36 m",CL 2015-12-23 P. 59,1,0,-32.38095474,-58.23688127,Uruguay - Concep. del Uruguay,5.927436363801984,Concepción del Uruguay,6.0058955685003745
2015-00134:014,22/12/2015,FLOOD,Formosa,34,Pilcomayo,34049,Más de 600 familias evacuadas.,Llu y desb,"Dbto. del río Pilcomayo: 8,30 m.",CL 2015-12-23 P. 59,1,0,-25.11711311,-58.18847657,Aº Pilagá - RN Nº11,50.93778461244981,Puerto Pilcomayo,61.66288632112511
2015-00134:010,22/12/2015,FLOOD,Entre Rios,30,Concordia,30015,"La cantidad de evacuados pasó de 1000 a 10000. Fue declarada en emergencia hídrica, sanitaria y vial. Un hombre murió ahogado al tirarse al río.",Llu y desb,"Dbto. del río Uruguay: 13,36 m","CL 2015-12-23 P. 59; CL 2015-12-26 P. 52, 53",1,10000,-31.35230446,-58.05355072,Concordia,4.9702956217825855,Salto Grande Arriba,13.733868318073494
2015-00132:015,21/12/2015,FLOOD,Entre Rios,30,La Paz,30070,Localidad afectada. Hubo evacuados y autoevacuados,Llu y desb,Dbto del río Paraná,CL 2015-12-22 P. 44,1,0,-30.60360412,-59.52751986,Guayquiraró - RN 12 - A°Curupí,14.311613255131615,Paraná - La Paz,14.326432491897634
2015-00132:013,21/12/2015,FLOOD,Entre Rios,30,Colon,30008,Localidad afectada. Hubo evacuados y autoevacuados,Llu y desb,Dbto del río Uruguay,CL 2015-12-22 P. 44,1,0,-31.70735861,-58.28660961,Concordia,35.0171592213429,Salto Grande Arriba,46.425271309854324
2015-00132:016,21/12/2015,FLOOD,Entre Rios,30,Uruguay,30098,Localidad afectada. Hubo evacuados y autoevacuados,Llu y desb,Dbto del río Uruguay,CL 2015-12-22 P. 44,1,0,-32.38095474,-58.23688127,Uruguay - Concep. del Uruguay,5.927436363801984,Concepción del Uruguay,6.0058955685003745
2015-00132:014,21/12/2015,FLOOD,Entre Rios,30,Concordia,30015,Localidad afectada con una gran cantidad de evacuados,Llu y desb,Dbto del río Uruguay,CL 2015-12-22 P. 44,1,0,-31.35230446,-58.05355072,Concordia,4.9702956217825855,Salto Grande Arriba,13.733868318073494
2015-00132:010,21/12/2015,FLOOD,Corrientes,18,Paso de los Libres,18119,Localidad afectada. Hubo 9 familias evacuadas en la localidad de Santo Tomé y la localidad Paso de los Libres,Llu y desb,Dbto del río Uruguay,CL 2015-12-22 P. 44,1,0,-29.87793885,-57.53288465,Miriñay - Paso Ledesma,15.917836422390208,Bompland,22.24097528486633
2015-00132:012,21/12/2015,FLOOD,Corrientes,18,Santo Tome,18168,Localidad afectada. Hubo 9 familias evacuadas en la localidad Santo Tomé y Paso Libre,Llu y desb,Dbto del río Uruguay,CL 2015-12-22 P. 44,1,0,-28.51878167,-56.05544289,Santo Tomé,3.131044339241239,Garruchos,49.70768894471692
2015-00132:005,21/12/2015,FLOOD,Corrientes,18,Esquina,18049,Localidad afectada.,Llu y desb,Dbto del río Paraná,CL 2015-12-22 P. 44,1,0,-30.0784368,-59.4055912,Aº Barrancas - Paso La Llana,11.968917907847858,Esquina,14.950085894162754
2015-00132:006,21/12/2015,FLOOD,Corrientes,18,Goya,18070,Localidad afectada.,Llu y desb,Dbto del río Paraná,CL 2015-12-22 P. 44,1,0,-29.1751244,-58.88982054,Aº Batel - Paso Cerrito,14.000267264942622,Bella Vista,42.093005625454715
2015-00132:011,21/12/2015,FLOOD,Corrientes,18,San Cosme,18133,Localidad afectada. Hubo 70 manzanas anegadas y 55 familias quedaron aisladas,Llu y desb,Dbto del río Paraná,CL 2015-12-22 P. 44,1,0,-27.36393313,-58.66198243,Isla del Cerrito,5.733399084566332,Paso de la Patria,8.923019286545259
2015-00132:007,21/12/2015,FLOOD,Corrientes,18,Itati,18077,Localidad afectada. Más de 40 familias afectadas.,Llu y desb,Dbto del río Paraná,CL 2015-12-22 P. 44,1,0,-27.35196615,-57.87393625,Itatí,41.46139160038385,Itá Ibaté,60.26984780817735
2015-00132:009,21/12/2015,FLOOD,Corrientes,18,Ituzaingo,18084,Localidad afectada,Llu y desb,Dbto del río Paraná,CL 2015-12-22 P. 44,1,0,-27.71591449,-56.94751639,Ituzaingó,28.680506246271943,Posadas,120.26544590187781
2015-00132:008,21/12/2015,FLOOD,Corrientes,18,Ituzaingo,18084,Localidad afectada,Llu y desb,Dbto del río Paraná,CL 2015-12-22 P. 44,1,0,-27.71591449,-56.94751639,Ituzaingó,28.680506246271943,Posadas,120.26544590187781
2015-00132:004,21/12/2015,FLOOD,Corrientes,18,,,Más de 700 personas evacuadas y 80 personas quedaron aisladas.,Llu y desb,,CL 2015-12-22 P. 44,1,700,,,nombre random,100000000.0,,
2015-00132:001,21/12/2015,FLOOD,Chaco,22,Bermejo,22014,Hubo anegamientos,Llu y desb,"Dbto. del río Paraná: 7,25 m",CL 2015-12-22 P. 44,1,0,-26.92175039,-58.77874597,Paraguay - Las Palmas,18.897140647721372,Bermejo - Puerto Velaz,22.06879200826867
2015-00132:003,21/12/2015,FLOOD,Chaco,22,San Fernando,22140,,Llu y desb,"Dbto. del río Paraná: 7,25 m",CL 2015-12-22 P. 44,1,0,-27.92561531,-59.31798172,CIRHBAS - LIM VILLA GUILLERMINA-ARROYO LOS AMORES,22.87946130564213,Negro - Laguna Blanca,40.00967873598881
2015-00132:002,21/12/2015,FLOOD,Chaco,22,San Fernando,22140,,Llu y desb,"Dbto. del río Paraná: 7,25 m",CL 2015-12-22 P. 44,1,2200,-27.92561531,-59.31798172,CIRHBAS - LIM VILLA GUILLERMINA-ARROYO LOS AMORES,22.87946130564213,Negro - Laguna Blanca,40.00967873598881
2015-00132,21/12/2015,FLOOD,Chaco,22,,,400 familias evacuadas,Llu y desb,"Dbto. del río Paraná: 7,25 m",CL 2015-12-22 P. 44,1,0,,,nombre random,100000000.0,,
2015-00122:009,6/12/2015,FLOOD,Corrientes,18,San Cosme,18133,,Llu y desb,"Dbto del río Paraná: 6,59 m",CL 2015-12-07 P. 33,1,0,-27.36393313,-58.66198243,Isla del Cerrito,5.733399084566332,Paso de la Patria,8.923019286545259
2015-00122:006,6/12/2015,FLOOD,Corrientes,18,Itati,18077,,Llu y desb,"Dbto del río Paraná: 6,59 m",CL 2015-12-07 P. 33,1,0,-27.35196615,-57.87393625,Itatí,41.46139160038385,Itá Ibaté,60.26984780817735
2015-00122:008,6/12/2015,FLOOD,Corrientes,18,Ituzaingo,18084,,Llu y desb,"Dbto del río Paraná: 6,59 m",CL 2015-12-07 P. 33,1,0,-27.71591449,-56.94751639,Ituzaingó,28.680506246271943,Posadas,120.26544590187781
2015-00122:007,6/12/2015,FLOOD,Corrientes,18,Ituzaingo,18084,,Llu y desb,"Dbto del río Paraná: 6,59 m",CL 2015-12-07 P. 33,1,0,-27.71591449,-56.94751639,Ituzaingó,28.680506246271943,Posadas,120.26544590187781
2015-00122:003,6/12/2015,FLOOD,Chaco,22,San Fernando,22140,,Llu y desb,"Dbto. del río Paraná: 6,59 m.",CL 2015-12-07 P. 33,1,0,-27.92561531,-59.31798172,CIRHBAS - LIM VILLA GUILLERMINA-ARROYO LOS AMORES,22.87946130564213,Negro - Laguna Blanca,40.00967873598881
2015-00122:002,6/12/2015,FLOOD,Chaco,22,San Fernando,22140,,Llu y desb,"Dbto. del río Paraná: 6,59 m.",CL 2015-12-07 P. 33,1,0,-27.92561531,-59.31798172,CIRHBAS - LIM VILLA GUILLERMINA-ARROYO LOS AMORES,22.87946130564213,Negro - Laguna Blanca,40.00967873598881
2015-00122:001,6/12/2015,FLOOD,Chaco,22,1 de Mayo,22126,,Llu y desb,"Dbto. del río Paraná: 6,59 m.",CL 2015-12-07 P. 33,1,0,-27.22855035,-58.90405078,Negro-Obra de Ctrl. Agua Abajo,13.098127602099554,Barranqueras,14.983820931349932
2015-00122:004,6/12/2015,FLOOD,Corrientes,18,,,Hubo más de 100 familias evacuadas,Llu y desb,"Dbto del río Paraná: 6,59 m",CL 2015-12-07 P. 33,1,0,,,nombre random,100000000.0,,
2015-00122,6/12/2015,FLOOD,Chaco,22,,,Hubo más de 100 familias evacuadas,Llu y desb,Dbto. del río Paraná debido a las intensas lluvias del sur d,CL 2015-12-07 P. 33,1,0,,,nombre random,100000000.0,,
2015-00120,5/12/2015,FLOOD,Tucuman,90,Capital,90084,"Un hombre quedó atrapado en su auto y se ahogó por las inundaciones. 12 familias fueron evacuadas. 2 jóvenes que se encontraban en e auto fueron rescatadas a tiempo Otras 2 camionetas fueron arrastradas por la corrientes, no hubo heridos.",RAIN,,CL 2015-12-06 P. 50; CL 2015-12-07 P. 33,1,48,-26.82900979,-65.21054418,Salí - Alta Gracia,7.448354612717231,Seco - RN Nº 157,26.422260570522862
2015-00115:007,19/11/2015,FLOOD,Buenos Aires,6,Quilmes,6658,Zona afectada con problemas para circular por calles anegadas.,RAIN,,CL 2015-11-20 P. 46,1,1,-34.70037841,-58.27664278,LP_Libano,4.25095577248256,Arroyo Las Piedras - Rep. del Líbano,4.284469084750754
2015-00115:006,19/11/2015,FLOOD,Buenos Aires,6,Lomas de Zamora,6490,Zona afectada con problemas para circular por calles anegadas.,RAIN,,CL 2015-11-20 P. 46,1,1,-34.73790272,-58.44067537,Finky,5.538805425560432,Buenos Aires,11.278302384471056
2015-00115:005,19/11/2015,FLOOD,Buenos Aires,6,Lomas de Zamora,6490,Zona afectada con problemas para circular por calles anegadas.,RAIN,,CL 2015-11-20 P. 46,1,1,-34.73790272,-58.44067537,Finky,5.538805425560432,Buenos Aires,11.278302384471056
2015-00115:003,19/11/2015,FLOOD,Buenos Aires,6,Avellaneda,6035,Zona afectada con problemas para circular por calles anegadas.,RAIN,,CL 2015-11-20 P. 46,1,1,-34.67500565,-58.31056343,SD_Olmos,1.5941701813570648,Arroyo San Francisco,3.256020413554479
2015-00115:002,19/11/2015,FLOOD,Buenos Aires,6,Avellaneda,6035,Zona afectada con problemas para circular por calles anegadas.,RAIN,,CL 2015-11-20 P. 46,1,1,-34.67500565,-58.31056343,SD_Olmos,1.5941701813570648,Arroyo San Francisco,3.256020413554479
2015-00115:001,19/11/2015,FLOOD,Buenos Aires,6,Avellaneda,6035,Zona afectada con problemas para circular por calles anegadas.,RAIN,,CL 2015-11-20 P. 46,1,1,-34.67500565,-58.31056343,SD_Olmos,1.5941701813570648,Arroyo San Francisco,3.256020413554479
2015-00115,19/11/2015,FLOOD,Buenos Aires,6,Avellaneda,6035,"Comercios afectados por el ingreso de agua, problemas para circular, calles anegadas. Tránsito con complicaciones en la esq. Larralde y Boulevard de los Italianos.",RAIN,,CL 2015-11-20 P. 46,1,1,-34.67500565,-58.31056343,SD_Olmos,1.5941701813570648,Arroyo San Francisco,3.256020413554479
2015-00115:004,19/11/2015,FLOOD,Buenos Aires,6,Lanus,6434,"Comercios afectados por el ingreso de agua, problemas para circular, calles anegadas. Comercios del paseo 9 de Julio afectados. y de las estación del tren Roca.",RAIN,,CL 2015-11-20 P. 46,1,1,-34.69095715,-58.38386285,Finky,5.762500628805622,Arroyo San Francisco,7.414543045351206
2015-00096:001,26/8/2015,FLOOD,Buenos Aires,6,General Paz,6343,Nuevas lluvias complicaron la situación.,Llu y desb,Dbto. del río Salado.,CL 27/8/2015 1/1/1900,1,0,-35.45190573,-58.26954177,Salado - RP Nº 41,33.706786624967805,Arroyo San Juan - MeteoVARELA,37.9620710392003
2015-00096,26/8/2015,FLOOD,Buenos Aires,6,,,Rutas cortadas por las nuevas lluvias: la 57; la 29 entre Ranchos y General Belgrano continuó cortada.,Llu y desb,Dbto. del río Salado.,CL 27/8/2015,1,0,,,nombre random,100000000.0,,
2015-00095:004,21/8/2015,FLOOD,Buenos Aires,6,General Pueyrredon,6357,Susp. del serv. ferroviario Buenos Aires-Mar del Plata,Llu y desb,Dbto del río Salado.,CL 25/8/2015,1,0,-37.80766254,-57.62989086,Mar del Plata,17.470209351835113,San Clemente,134.21992598668442
2015-00095:001,21/8/2015,FLOOD,Buenos Aires,6,,,Hubo anegamiento de caminos y campos anegados y evacuados de parajes rurales. Más del 70% de la superficie anegada.,Llu y desb,Dbto del río Salado.,CL 2015-08-22 P. 66,1,1,,,nombre random,100000000.0,,
2015-00095:006,21/8/2015,FLOOD,Buenos Aires,6,Pila,6630,Hubo anegamiento de caminos y campos anegados y evacuados de parajes rurales. Más del 70% de la superficie anegada. Murieron 4000 terneros.,Llu y desb,Dbto del río Salado.,CL 2015-08-22 P. 66,1,1,-36.09760675,-58.09855871,Salado - RN Nº02,28.56058127945816,La Plata,78.34831393277632
2015-00095:008,21/8/2015,FLOOD,Buenos Aires,6,Tordillo,06812,Hubo anegamiento de caminos y campos anegados y evacuados de parajes rurales. Más del 70% de la superficie anegada.,Llu y desb,Dbto del río Salado.,CL 2015-08-22 P. 66,1,1,-36.4708183,-57.1914178,San Clemente,53.41025608031023,La Plata,124.14735884839438
2015-00095:007,21/8/2015,FLOOD,Buenos Aires,6,Roque Perez,6693,Hubo anegamiento de caminos y campos anegados y evacuados de parajes rurales. Más del 70% de la supeficie anegada.,Llu y desb,Dbto del río Salado.,CL 2015-08-22 P. 66,1,1,-35.41999054,-59.66501618,Aº Saladillo - RN Nº205,10.282451907030255,Arrecifes - Arrecifes,83.64975127673584
2015-00095:003,21/8/2015,FLOOD,Buenos Aires,6,General Paz,6343,Hubo anegamiento de caminos y campos anegados y evacuados de parajes rurales. Quedó aislada por la inundación.,Llu y desb,Dbto del río Salado.,CL 2015-08-22 P. 66,1,1,-35.45190573,-58.26954177,Salado - RP Nº 41,33.706786624967805,Arroyo San Juan - MeteoVARELA,37.9620710392003
2015-00095:002,21/8/2015,FLOOD,Buenos Aires,6,General Belgrano,6301,Hubo anegamiento de caminos y campos anegados y evacuados de parajes rurales.,Llu y desb,Dbto del río Salado.,CL 2015-08-22 P. 66,1,1,-35.83441,-58.47736003,Salado - RP Nº 41,9.080431281406039,Arroyo San Juan - MeteoVARELA,65.91808377276904
2015-00095,21/8/2015,FLOOD,Buenos Aires,6,,,"Hubo anegamiento de caminos y campos anegados y evacuados de parajes rurales. Ruta 41 cortada, entre Belgrano y Monte; ruta 29 alt. km 67. Hubo 49 municipios afectados. Pérdida del 5% de la producción lechera.",Llu y desb,Dbto del río Salado.,CL 2015-08-22 P. 66; CL 2015-08-24 P. 32,1,1,,,nombre random,100000000.0,,
2015-00092:002,13/8/2015,FLOOD,Buenos Aires,6,Quilmes,6658,,Llu y desb,Dbto. del río de La PLata,"CL 2015-08-14 P. 3, 4, 5, 6 , 7",1,0,-34.70037841,-58.27664278,LP_Libano,4.25095577248256,Arroyo Las Piedras - Rep. del Líbano,4.284469084750754
2015-00091:001,12/8/2015,FLOOD,Buenos Aires,6,Lobos,6483,Un jóven desaparecido.,Llu y desb,,"CL 2015-08-14 P. 3, 4, 5, 6 , 7",1,0,-35.2649767,-59.0698098,Aº Saladillo - RN Nº205,57.217367386663504,Campana,64.70954304193491
